# display=4 E_dc=12.00000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.00000000000000000000 PhiYmax=1.20000004768371582031 B=10.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
12.00000000000000000000 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.23961883783340454102 0.00029417022597044706 1.00045049190521240234 -2.45030903816223144531 0.58566677570343017578 0.23804928362369537354 -2.44439435005187988281 0.58484554290771484375 -0.00063518481329083443
# display=4 E_dc=12.52000045776367187500 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.00000000000000000000 PhiYmax=1.20000004768371582031 B=10.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
12.52000045776367187500 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.24986504018306732178 0.00025975418975576758 1.00044727325439453125 -2.55555009841918945312 0.55131822824478149414 0.24830333888530731201 -2.54967570304870605469 0.55043119192123413086 -0.00064098485745489597
# display=4 E_dc=13.03999996185302734375 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.00000000000000000000 PhiYmax=1.20000004768371582031 B=10.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
13.03999996185302734375 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.26010197401046752930 0.00023141874407883734 1.00045263767242431641 -2.66066765785217285156 0.51494431495666503906 0.25854441523551940918 -2.65482568740844726562 0.51395106315612792969 -0.00064563623163849115
# display=4 E_dc=13.56000041961669921875 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.00000000000000000000 PhiYmax=1.20000004768371582031 B=10.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
13.56000041961669921875 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.27032351493835449219 0.00020083645358681679 1.00045573711395263672 -2.76562333106994628906 0.47641202807426452637 0.26877102255821228027 -2.75980257987976074219 0.47526264190673828125 -0.00065026443917304277
# display=4 E_dc=14.07999992370605468750 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.00000000000000000000 PhiYmax=1.20000004768371582031 B=10.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
14.07999992370605468750 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.28052583336830139160 0.00016605126438662410 1.00045824050903320312 -2.87036848068237304688 0.43555828928947448730 0.27897566556930541992 -2.86460757255554199219 0.43424421548843383789 -0.00065449019894003868
# display=4 E_dc=14.60000038146972656250 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.00000000000000000000 PhiYmax=1.20000004768371582031 B=10.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
14.60000038146972656250 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.29070499539375305176 0.00013670253974851221 1.00045752525329589844 -2.97485995292663574219 0.39217841625213623047 0.28916049003601074219 -2.96916866302490234375 0.39066094160079956055 -0.00065820512827485800
# display=4 E_dc=15.11999988555908203125 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.00000000000000000000 PhiYmax=1.20000004768371582031 B=10.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
15.11999988555908203125 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.30084657669067382812 0.00010581685637589544 1.00044953823089599609 -3.07904243469238281250 0.34601479768753051758 0.29931518435478210449 -3.07343530654907226562 0.34465286135673522949 -0.00066124083241447806
# display=4 E_dc=15.64000034332275390625 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.00000000000000000000 PhiYmax=1.20000004768371582031 B=10.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
