# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.01384041737765073776 0.01071299798786640167 1.00003099441528320312 -0.01163213141262531281 0.94546496868133544922 -0.00000533245065525989 0.00001788181543815881 0.94545215368270874023 -0.00405163457617163658
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.60000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.60000002384185791016 116.00000000000000000000 0.02388795092701911926 0.01102074701339006424 1.00002932548522949219 -0.05842979252338409424 0.94536411762237548828 -0.00000039448747202186 0.00000100777947409370 0.94536733627319335938 -0.00487805204465985298
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.69999998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.69999998807907104492 116.00000000000000000000 0.00969396065920591354 0.01139796245843172073 1.00002920627593994141 -0.05413435027003288269 0.94532805681228637695 0.00000435042375102057 -0.00001406872524967184 0.94540441036224365234 -0.00571493385359644890
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.80000001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.80000001192092895508 116.00000000000000000000 -0.01641317270696163177 0.01184544898569583893 1.00002956390380859375 -0.00151146482676267624 0.94539487361907958984 0.00000070716168920626 -0.00000652530388833839 0.94540178775787353516 -0.00655779615044593811
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.89999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=3.00000000000000000000 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00100000004749745131 g-grid=4000
