#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.10000000149011611938 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.03391620516777038574 0.01070688758045434952 1.00002729892730712891 -0.07343959063291549683 0.94526112079620361328 0.02007225342094898224 -0.06179176270961761475 0.94509863853454589844
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.75833332538604736328 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.16592398285865783691 0.01065510232001543045 1.00002706050872802734 -0.47991535067558288574 0.93108212947845458984 0.15214264392852783203 -0.46839275956153869629 0.93057179450988769531
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.41666662693023681641 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.29731804132461547852 0.01057943049818277359 1.00002682209014892578 -0.88459366559982299805 0.89432901144027709961 0.28369861841201782227 -0.87341582775115966797 0.89342582225799560547
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.07500004768371582031 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.42754459381103515625 0.01047183480113744736 1.00002586841583251953 -1.28579390048980712891 0.83431786298751831055 0.41421043872833251953 -1.27521693706512451172 0.83301621675491333008
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.73333334922790527344 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.55583053827285766602 0.01031729020178318024 1.00002455711364746094 -1.68120241165161132812 0.74978822469711303711 0.54296219348907470703 -1.67159247398376464844 0.74803465604782104492
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
3.39166665077209472656 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.68094527721405029297 0.01007779594510793686 1.00002455711364746094 -2.06716847419738769531 0.63856422901153564453 0.66883164644241333008 -2.05912828445434570312 0.63634598255157470703
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
4.05000019073486328125 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.80060100555419921875 0.00965556874871253967 1.00002479553222656250 -2.43700742721557617188 0.49674481153488159180 0.78979843854904174805 -2.43152141571044921875 0.49394774436950683594
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
4.70833349227905273438 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.90942418575286865234 0.00870431121438741684 1.00002419948577880859 -2.77538394927978515625 0.31630781292915344238 0.90128076076507568359 -2.77473664283752441406 0.31261852383613586426
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.36666679382324218750 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.98226976394653320312 0.00237755849957466125 1.00002408027648925781 -3.01645374298095703125 0.07379229366779327393 0.98111325502395629883 -3.02050828933715820312 0.06750722229480743408
