# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.50000000000000000000 1.15999996662139892578 0.46565762162208557129 -0.00439294427633285522 1.00046384334564208984 -1.92246854305267333984 0.00032633208320476115 0.46675822138786315918 -1.91643619537353515625 -0.00051352020818740129 -0.00057481956901028752
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.60000002384185791016 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.60000002384185791016 1.15999996662139892578 0.46124863624572753906 -0.00305159902200102806 1.00045835971832275391 -1.90448689460754394531 -0.00190791476052254438 0.46665340662002563477 -1.91614246368408203125 -0.00052807712927460670 -0.00170335476286709309
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.69999998807907104492 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.69999998807907104492 1.15999996662139892578 0.46160581707954406738 -0.00179226289037615061 1.00043177604675292969 -1.89670419692993164062 -0.00313436007127165794 0.46666583418846130371 -1.91680324077606201172 -0.00054396060295403004 -0.00074893445707857609
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.80000001192092895508 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.00000000000000000000 PhiYmax=6.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=5000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.80000001192092895508 1.15999996662139892578 0.46690237522125244141 -0.00238587707281112671 1.00044417381286621094 -1.90484046936035156250 -0.00273381639271974564 0.46678039431571960449 -1.91663920879364013672 -0.00054908200399950147 0.00039600662421435118
