# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.30000001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.30000001192092895508 116.00000000000000000000 -0.01217539794743061066 0.00599671108648180962 0.99996554851531982422 0.04327955469489097595 0.94538664817810058594 0.00000082667378364931 0.00000672327087158919 0.94539833068847656250 -0.00156864861492067575
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.20000000298023223877 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.20000000298023223877 116.00000000000000000000 -0.00473122065886855125 0.00594818266108632088 0.99996656179428100586 0.00992417056113481522 0.94546616077423095703 0.00000085644722958023 0.00000654836458124919 0.94547986984252929688 -0.00104378792457282543
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.40000000596046447754 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.40000000596046447754 116.00000000000000000000 -0.00901891756802797318 0.00606526294723153114 0.99996584653854370117 0.04483188316226005554 0.94534456729888916016 0.00000093386188382283 0.00000647207616566448 0.94535452127456665039 -0.00209689442999660969
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.44999998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.44999998807907104492 116.00000000000000000000 -0.00378504884429275990 0.00610742066055536270 0.99996668100357055664 0.03217335045337677002 0.94537287950515747070 0.00000099061969649483 0.00000596128256802331 0.94538378715515136719 -0.00236277817748486996
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.00254371110349893570 0.00615487014874815941 0.99996727705001831055 0.01321262773126363754 0.94541418552398681641 0.00000079032213307073 0.00000613587144471239 0.94542640447616577148 -0.00262984237633645535
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.55000001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.55000001192092895508 116.00000000000000000000 0.00855140853673219681 0.00620758673176169395 0.99996727705001831055 -0.00840790197253227234 0.94543617963790893555 0.00000077132540354796 0.00000713677127350820 0.94544619321823120117 -0.00289837061427533627
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.60000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.60000002384185791016 116.00000000000000000000 0.01284395065158605576 0.00626579346135258675 0.99996620416641235352 -0.02851807698607444763 0.94542711973190307617 0.00000062932252831160 0.00000773141800891608 0.94543004035949707031 -0.00316856568679213524
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.64999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.64999997615814208984 116.00000000000000000000 0.01437222585082054138 0.00632968964055180550 0.99996495246887207031 -0.04321713373064994812 0.94539654254913330078 0.00000051325014283066 0.00000787438602856128 0.94539433717727661133 -0.00344063527882099152
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.69999998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.69999998807907104492 116.00000000000000000000 0.01266685128211975098 0.00640012137591838837 0.99996381998062133789 -0.04963256418704986572 0.94536513090133666992 0.00000087055087760746 0.00000578917843085947 0.94536530971527099609 -0.00371475401334464550
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.75000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.75000000000000000000 116.00000000000000000000 0.00797421485185623169 0.00647588633000850677 0.99996399879455566406 -0.04645414650440216064 0.94535404443740844727 0.00000070860403411643 0.00000744981025491143 0.94535416364669799805 -0.00399091979488730431
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.80000001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.80000001192092895508 116.00000000000000000000 0.00120857183355838060 0.00655835028737783432 0.99996411800384521484 -0.03424235805869102478 0.94536638259887695312 0.00000090407581865293 0.00000781866310717305 0.94536828994750976562 -0.00426903041079640388
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.85000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.85000002384185791016 116.00000000000000000000 -0.00621119467541575432 0.00664726598188281059 0.99996531009674072266 -0.01527078449726104736 0.94538664817810058594 0.00000091071689212185 0.00000645623276795959 0.94539391994476318359 -0.00454958667978644371
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.89999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.89999997615814208984 116.00000000000000000000 -0.01264823880046606064 0.00674284016713500023 0.99996435642242431641 0.00682241842150688171 0.94540154933929443359 0.00000107148298411630 0.00000637924904367537 0.94541567564010620117 -0.00483249686658382416
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=0.94999998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 0.94999998807907104492 116.00000000000000000000 -0.01662248745560646057 0.00684549333527684212 0.99996650218963623047 0.02781234495341777802 0.94540113210678100586 0.00000102854653505347 0.00000630089243713883 0.94541448354721069336 -0.00511842733249068260
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.00000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.00000000000000000000 116.00000000000000000000 -0.01712135411798954010 0.00695509137585759163 0.99996608495712280273 0.04360928013920783997 0.94538420438766479492 0.00000111698943783267 0.00000535857498107362 0.94539695978164672852 -0.00540677411481738091
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.04999995231628417969 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.04999995231628417969 116.00000000000000000000 -0.01385002583265304565 0.00707236817106604576 0.99996608495712280273 0.05112260207533836365 0.94536721706390380859 0.00000136275923523499 0.00000348979187947407 0.94537943601608276367 -0.00569840054959058762
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.10000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.10000002384185791016 116.00000000000000000000 -0.00731866247951984406 0.00719827041029930115 0.99996602535247802734 0.04881655797362327576 0.94535833597183227539 0.00000085650958681072 0.00000546693945580046 0.94536972045898437500 -0.00599287264049053192
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.14999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.14999997615814208984 116.00000000000000000000 0.00121962709818035364 0.00733211776241660118 0.99996685981750488281 0.03702284768223762512 0.94535666704177856445 0.00000055434639989471 0.00000532012245457736 0.94537007808685302734 -0.00629047956317663193
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.20000004768371582031 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.20000004768371582031 116.00000000000000000000 0.01001318637281656265 0.00747453514486551285 0.99996674060821533203 0.01792406663298606873 0.94536244869232177734 -0.00000007542505642277 0.00000581689573664335 0.94537478685379028320 -0.00659098802134394646
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.25000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.25000000000000000000 116.00000000000000000000 0.01717489771544933319 0.00762550486251711845 0.99996632337570190430 -0.00490695191547274590 0.94536679983139038086 -0.00000045936187120788 0.00000703545902069891 0.94537591934204101562 -0.00689525436609983444
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.29999995231628417969 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.29999995231628417969 116.00000000000000000000 0.02105649560689926147 0.00778713636100292206 0.99996650218963623047 -0.02711792662739753723 0.94536525011062622070 0.00000120216077448276 0.00000586094211030286 0.94536972045898437500 -0.00720507558435201645
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.35000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.35000002384185791016 116.00000000000000000000 0.02062971144914627075 0.00795671250671148300 0.99996536970138549805 -0.04434733837842941284 0.94536316394805908203 -0.00000052072903145017 0.00000962219564826228 0.94536447525024414062 -0.00751634081825613976
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.39999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
0.00000000000000000000 0.10000000149011611938 1.39999997615814208984 116.00000000000000000000 0.01573664881289005280 0.00813976116478443146 0.99996495246887207031 -0.05327839776873588562 0.94535851478576660156 0.00000090856542556139 0.00000646460784992087 0.94535779953002929688 -0.00783284381031990051
# display=4 E_dc=0.00000000000000000000 E_omega=0.10000000149011611938 omega=1.45000004768371582031 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=9.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
