# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.74877160787582397461 0.00547744613140821457 0.99995893239974975586 -3.05307674407958984375 0.24971017241477966309 0.74289923906326293945 -3.04927730560302734375 0.24620233476161956787 -0.00145153794437646866
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=0.55000001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 0.55000001192092895508 116.00000000000000000000 0.75292229652404785156 0.00559324258938431740 0.99995911121368408203 -3.07148480415344238281 0.23914308845996856689 0.74289548397064208984 -3.04938268661499023438 0.24619343876838684082 -0.00159704685211181641
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=0.60000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 0.60000002384185791016 116.00000000000000000000 0.75473600625991821289 0.00572506291791796684 0.99995917081832885742 -3.08521294593811035156 0.23039916157722473145 0.74290966987609863281 -3.04932260513305664062 0.24618881940841674805 -0.00174236390739679337
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=0.64999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 0.64999997615814208984 116.00000000000000000000 0.75366222858428955078 0.00587236136198043823 0.99995929002761840820 -3.09141421318054199219 0.22535963356494903564 0.74289256334304809570 -3.04939365386962890625 0.24617941677570343018 -0.00188763637561351061
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=0.69999998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 0.69999998807907104492 116.00000000000000000000 0.74970561265945434570 0.00606259191408753395 0.99995964765548706055 -3.08862614631652832031 0.22501888871192932129 0.74290114641189575195 -3.04929494857788085938 0.24617373943328857422 -0.00201222463510930538
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=0.75000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 0.75000000000000000000 116.00000000000000000000 0.74352437257766723633 0.00623234268277883530 0.99995779991149902344 -3.07696032524108886719 0.22924461960792541504 0.74291455745697021484 -3.04938459396362304688 0.24616265296936035156 -0.00216282717883586884
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=0.80000001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 0.80000001192092895508 116.00000000000000000000 0.73650890588760375977 0.00643860315904021263 0.99995893239974975586 -3.05840826034545898438 0.23688146471977233887 0.74291473627090454102 -3.04935431480407714844 0.24615265429019927979 -0.00230183755047619343
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=0.85000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 0.85000002384185791016 116.00000000000000000000 0.73060232400894165039 0.00665136612951755524 0.99995893239974975586 -3.03684830665588378906 0.24611689150333404541 0.74291300773620605469 -3.04935812950134277344 0.24614273011684417725 -0.00239895377308130264
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=0.89999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 0.89999997615814208984 116.00000000000000000000 0.72771465778350830078 0.00689570838585495949 0.99996054172515869141 -3.01746845245361328125 0.25489565730094909668 0.74291229248046875000 -3.04936170578002929688 0.24613109230995178223 -0.00251880637370049953
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=0.94999998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 0.94999998807907104492 116.00000000000000000000 0.72892504930496215820 0.00713317049667239189 0.99995970726013183594 -3.00524997711181640625 0.26137092709541320801 0.74292129278182983398 -3.04937529563903808594 0.24611885845661163330 -0.00262106722220778465
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=1.00000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 1.00000000000000000000 116.00000000000000000000 0.73400944471359252930 0.00741686904802918434 0.99995988607406616211 -3.00340008735656738281 0.26423412561416625977 0.74292027950286865234 -3.04940176010131835938 0.24610653519630432129 -0.00271445396356284618
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=1.04999995231628417969 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 1.04999995231628417969 116.00000000000000000000 0.74154376983642578125 0.00771069852635264397 0.99995946884155273438 -3.01227664947509765625 0.26300698518753051758 0.74292248487472534180 -3.04939484596252441406 0.24609087407588958740 -0.00278632389381527901
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=1.10000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 1.10000002384185791016 116.00000000000000000000 0.74950975179672241211 0.00800686888396739960 0.99996006488800048828 -3.02947854995727539062 0.25810232758522033691 0.74292141199111938477 -3.04941678047180175781 0.24607631564140319824 -0.00288189412094652653
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=1.14999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 1.14999997615814208984 116.00000000000000000000 0.75598174333572387695 0.00833285227417945862 0.99995917081832885742 -3.05077648162841796875 0.25073319673538208008 0.74292379617691040039 -3.04939079284667968750 0.24605910480022430420 -0.00295132701285183430
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=1.20000004768371582031 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 1.20000004768371582031 116.00000000000000000000 0.75964581966400146484 0.00871822237968444824 0.99995934963226318359 -3.07147550582885742188 0.24262462556362152100 0.74291706085205078125 -3.04941248893737792969 0.24604088068008422852 -0.00303500215522944927
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=1.25000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 1.25000000000000000000 116.00000000000000000000 0.75989633798599243164 0.00903928652405738831 0.99995893239974975586 -3.08750653266906738281 0.23566934466361999512 0.74292069673538208008 -3.04941153526306152344 0.24602249264717102051 -0.00306159583851695061
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=1.29999995231628417969 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00050000002374872565 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 1.29999995231628417969 116.00000000000000000000 0.75668293237686157227 0.00951336324214935303 0.99995744228363037109 -3.09611439704895019531 0.23140095174312591553 0.74292582273483276367 -3.04942703247070312500 0.24600031971931457520 -0.00307796266861259937
