# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.52895438671112060547 -0.02472518943250179291 1.00045418739318847656 -2.25400066375732421875 -0.23802317678928375244 0.54214966297149658203 -2.22668290138244628906 -0.24047785997390747070 -0.00042663124622777104
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.52499997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.52499997615814208984 116.00000000000000000000 0.51874870061874389648 -0.02461825124919414520 1.00045609474182128906 -2.21609497070312500000 -0.23757587373256683350 0.54223442077636718750 -2.22681736946105957031 -0.24050362408161163330 -0.00094362546224147081
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.55000001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.55000001192092895508 116.00000000000000000000 0.50998342037200927734 -0.02435552887618541718 1.00045347213745117188 -2.17946791648864746094 -0.23699441552162170410 0.54226315021514892578 -2.22701740264892578125 -0.24044406414031982422 -0.00137001334223896265
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.57499998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
8.19999980926513671875 0.10000000149011611938 0.57499998807907104492 116.00000000000000000000 0.50315624475479125977 -0.02397625334560871124 1.00045406818389892578 -2.14599418640136718750 -0.23637232184410095215 0.54220628738403320312 -2.22698140144348144531 -0.24043630063533782959 -0.00164909253362566233
# display=4 E_dc=8.19999980926513671875 E_omega=0.10000000149011611938 omega=0.60000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
