# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.28952601552009582520 -0.00426278216764330864 1.00046634674072265625 -1.20134460926055908203 -0.12725399434566497803 0.29230862855911254883 -1.20049941539764404297 -0.12786726653575897217 0.00019274308579042554
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.52499997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.52499997615814208984 116.00000000000000000000 0.28807637095451354980 -0.00416091550141572952 1.00045812129974365234 -1.19555592536926269531 -0.12605655193328857422 0.29228848218917846680 -1.20019590854644775391 -0.12787039577960968018 -0.00005786272959085181
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.55000001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.55000001192092895508 116.00000000000000000000 0.28690892457962036133 -0.00397340394556522369 1.00045931339263916016 -1.19016826152801513672 -0.12498420476913452148 0.29224964976310729980 -1.20038950443267822266 -0.12786623835563659668 -0.00025709040346555412
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.57499998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
9.50000000000000000000 0.10000000149011611938 0.57499998807907104492 116.00000000000000000000 0.28606840968132019043 -0.00372621766291558743 1.00046229362487792969 -1.18545603752136230469 -0.12409251928329467773 0.29234555363655090332 -1.20020723342895507812 -0.12785963714122772217 -0.00037877340218983591
# display=4 E_dc=9.50000000000000000000 E_omega=0.10000000149011611938 omega=0.60000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
