# display=4 E_dc=5.00000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.09999990463256835938 PhiYmax=2.59999990463256835938 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00001499999962106813 g-grid=4300
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
5.00000000000000000000 0.10000000149011611938 0.50000000000000000000 1.15999996662139892578 0.56408274173736572266 0.00237237196415662766 0.99549102783203125000 -2.33714199066162109375 0.25530713796615600586 0.56328529119491577148 -2.35483551025390625000 0.25250563025474548340 -0.00188601040281355381
# display=4 E_dc=5.25000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.09999990463256835938 PhiYmax=2.59999990463256835938 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00001499999962106813 g-grid=4300
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
5.25000000000000000000 0.10000000149011611938 0.50000000000000000000 1.15999996662139892578 0.57317888736724853516 0.00191339047159999609 0.99554246664047241211 -2.37622785568237304688 0.23764236271381378174 0.57317155599594116211 -2.39490079879760742188 0.23476091027259826660 -0.00177186366636306047
# display=4 E_dc=5.50000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.09999990463256835938 PhiYmax=2.59999990463256835938 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00001499999962106813 g-grid=4300
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
5.50000000000000000000 0.10000000149011611938 0.50000000000000000000 1.15999996662139892578 0.58014506101608276367 0.00149787461850792170 0.99558162689208984375 -2.40642094612121582031 0.21999953687191009521 0.58014088869094848633 -2.42607021331787109375 0.21710367500782012939 -0.00167618517298251390
# display=4 E_dc=5.75000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.09999990463256835938 PhiYmax=2.59999990463256835938 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00001499999962106813 g-grid=4300
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
5.75000000000000000000 0.10000000149011611938 0.50000000000000000000 1.15999996662139892578 0.58507221937179565430 0.00108905695378780365 0.99555343389511108398 -2.42794585227966308594 0.20248341560363769531 0.58507674932479858398 -2.44835543632507324219 0.19964313507080078125 -0.00158406177069991827
# display=4 E_dc=6.00000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=1.15999996662139892578 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-6.09999990463256835938 PhiYmax=2.59999990463256835938 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00001499999962106813 g-grid=4300
