#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.00000000000000000000 0.10000000000000000555 0.80000000000000004441 116.00000000000000000000 0.57326910529670072059 0.00660114884445523343 1.00000000000007638334 -2.39204575021658882861 0.55158833015048702730 0.58244354886934168736 -2.39080573634389503823 0.55749742986485351093
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.09999999999999964473 0.10000000000000000555 0.80000000000000004441 116.00000000000000000000 0.58453198673184303402 0.00660116849291077657 1.00000000000007571721 -2.43818510364619944752 0.53455020964906285741 0.59362334457059107162 -2.43669669976065694783 0.54062124963362090391
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.20000000000000017764 0.10000000000000000555 0.80000000000000004441 116.00000000000000000000 0.59575744122824059179 0.00660077516056972562 1.00000000000007216450 -2.48416245479727271217 0.51704228575380650756 0.60475909158595908544 -2.48240631503023179150 0.52328001099948695529
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.29999999999999982236 0.10000000000000000555 0.80000000000000004441 116.00000000000000000000 0.60694271830121193645 0.00659987643018394507 1.00000000000007482903 -2.52996540864276786564 0.49905010831177931685 0.61584722155600279958 -2.52791989883592016497 0.50545976193417785360
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.40000000000000035527 0.10000000000000000555 0.80000000000000004441 116.00000000000000000000 0.61808478565437130481 0.00659836221972564044 1.00000000000007260859 -2.57558020264364095908 0.48055771155423560037 0.62688372769473665880 -2.57322101332252062278 0.48714511433061341572
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.50000000000000000000 0.10000000000000000555 0.80000000000000004441 116.00000000000000000000 0.62918029104992045930 0.00659610018129853318 1.00000000000007238654 -2.62099149322163649245 0.46154737598866973913 0.63786408981194431256 -2.61829116643758785798 0.46831902507937089863
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.59999999999999964473 0.10000000000000000555 0.80000000000000004441 116.00000000000000000000 0.64022551889651557744 0.00659292892493743184 1.00000000000007460699 -2.66618209864716515511 0.44199933711669925351 0.64878318336500506724 -2.66310944156609741285 0.44896252865563662793
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.70000000000000017764 0.10000000000000000555 0.80000000000000004441 116.00000000000000000000 0.65121634150900364890 0.00658864795541092875 1.00000000000007438494 -2.71113268687327524376 0.42189142482034452941 0.65963516721437631674 -2.70765203339518301107 0.42905440649905668415
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.79999999999999982236 0.10000000000000000555 0.80000000000000004441 116.00000000000000000000 0.66214816585481706124 0.00658300254008785390 1.00000000000007549517 -2.75582139229163569638 0.40119861064010620133 0.67041334223153903338 -2.75189165688192982628 0.40857077310409573023
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.90000000000000035527 0.10000000000000000555 0.80000000000000004441 116.00000000000000000000 0.67301587834448284298 0.00657566034666192453 1.00000000000007704948 -2.80022333616561391878 0.37989242995312372253 0.68110996878743201854 -2.79579677944833804304 0.38748455059251912802
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
