# display=4 E_dc=5.00000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=32.15999984741210937500 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.69999980926513671875 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
5.00000000000000000000 0.10000000149011611938 0.50000000000000000000 32.15999984741210937500 0.59577816724777221680 0.00427594454959034920 1.00045228004455566406 -2.42376995086669921875 0.54537391662597656250 0.58803486824035644531 -2.41468667984008789062 0.54330939054489135742 -0.00262166955508291721
# display=4 E_dc=5.25000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=32.15999984741210937500 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.69999980926513671875 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
5.25000000000000000000 0.10000000149011611938 0.50000000000000000000 32.15999984741210937500 0.62352508306503295898 0.00413860287517309189 1.00045299530029296875 -2.53800988197326660156 0.50159448385238647461 0.61597812175750732422 -2.52945184707641601562 0.49926128983497619629 -0.00255595101043581963
# display=4 E_dc=5.50000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=32.15999984741210937500 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.69999980926513671875 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
5.50000000000000000000 0.10000000149011611938 0.50000000000000000000 32.15999984741210937500 0.65075939893722534180 0.00397319393232464790 1.00044524669647216797 -2.65023493766784667969 0.45452594757080078125 0.64347505569458007812 -2.64239668846130371094 0.45206654071807861328 -0.00246810354292392731
# display=4 E_dc=5.75000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=32.15999984741210937500 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.69999980926513671875 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
5.75000000000000000000 0.10000000149011611938 0.50000000000000000000 32.15999984741210937500 0.67720407247543334961 0.00373921799473464489 1.00044333934783935547 -2.75948762893676757812 0.40380322933197021484 0.67033159732818603516 -2.75272798538208007812 0.40113049745559692383 -0.00234915595501661301
# display=4 E_dc=6.00000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=32.15999984741210937500 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.69999980926513671875 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.00000000000000000000 0.10000000149011611938 0.50000000000000000000 32.15999984741210937500 0.70230078697204589844 0.00336802517995238304 1.00044727325439453125 -2.86372447013854980469 0.34895968437194824219 0.69598287343978881836 -2.85832381248474121094 0.34597241878509521484 -0.00218805088661611080
# display=4 E_dc=6.25000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=32.15999984741210937500 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.69999980926513671875 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.25000000000000000000 0.10000000149011611938 0.50000000000000000000 32.15999984741210937500 0.72497630119323730469 0.00272703426890075207 1.00044536590576171875 -2.95898413658142089844 0.28953143954277038574 0.71918714046478271484 -2.95329904556274414062 0.28625145554542541504 -0.00197630329057574272
# display=4 E_dc=6.50000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=32.15999984741210937500 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.69999980926513671875 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.10000000149011611938 0.50000000000000000000 32.15999984741210937500 0.74332237243652343750 0.00160992506425827742 1.00044620037078857422 -3.03815841674804687500 0.22524955868721008301 0.73853123188018798828 -3.03373742103576660156 0.22158540785312652588 -0.00171149871312081814
# display=4 E_dc=6.75000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=32.15999984741210937500 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.69999980926513671875 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.75000000000000000000 0.10000000149011611938 0.50000000000000000000 32.15999984741210937500 0.75438135862350463867 -0.00020656520791817456 1.00044322013854980469 -3.08984923362731933594 0.15648171305656433105 0.75096112489700317383 -3.08489799499511718750 0.15265461802482604980 -0.00140406494028866291
# display=4 E_dc=7.00000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=32.15999984741210937500 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.69999980926513671875 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
7.00000000000000000000 0.10000000149011611938 0.50000000000000000000 32.15999984741210937500 0.75432777404785156250 -0.00285896006971597672 1.00044596195220947266 -3.09888720512390136719 0.08480013161897659302 0.75230407714843750000 -3.08987689018249511719 0.08056276291608810425 -0.00108369765803217888
# display=4 E_dc=7.25000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=32.15999984741210937500 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.69999980926513671875 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
7.25000000000000000000 0.10000000149011611938 0.50000000000000000000 32.15999984741210937500 0.73932200670242309570 -0.00622908119112253189 1.00044798851013183594 -3.04919338226318359375 0.01344421226531267166 0.74013674259185791016 -3.03971409797668457031 0.00946955010294914246 -0.00078274455154314637
# display=4 E_dc=7.50000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=32.15999984741210937500 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.69999980926513671875 PhiYmax=1.20000004768371582031 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
7.50000000000000000000 0.10000000149011611938 0.50000000000000000000 32.15999984741210937500 0.70700186491012573242 -0.00986292771995067596 1.00044929981231689453 -2.92957758903503417969 -0.05277474597096443176 0.71011656522750854492 -2.91703176498413085938 -0.05685451626777648926 -0.00053505884716287255
