#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 0.20000000000000001110 116.00000000000000000000 0.68588501413828173447 0.00535270982768492384 0.99999999999907107640 -2.82356312564283395972 0.37117199169779313550 0.69170329427529186894 -2.83928692459428422268 0.36580881074612442427
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 0.29999999999999998890 116.00000000000000000000 0.68057774869427045683 0.00544554332137649460 0.99999999999907163151 -2.79658420344421143611 0.38502578979041968132 0.69170478253584599670 -2.83929238929488203524 0.36580529416066592807
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 0.40000000000000002220 116.00000000000000000000 0.68673185096444033793 0.00557879275352267910 0.99999999999907496218 -2.80691146293019944125 0.38365259597025780369 0.69170661215590056869 -2.83929925798498228318 0.36580026843549517945
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 0.50000000000000000000 116.00000000000000000000 0.69852226997104305273 0.00575317990407895035 0.99999999999907240866 -2.84549785151723888532 0.36872440851512927606 0.69170862218517925601 -2.83930688093904892710 0.36579369296857461302
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 0.59999999999999997780 116.00000000000000000000 0.70436804115906825885 0.00597126843929701029 0.99999999999907340786 -2.87917570947274281679 0.35242640904180444483 0.69171070778584142769 -2.83931477919849184488 0.36578546224065022763
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
