#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
8.30000000000000071054 0.10000000000000000555 0.40000000000000002220 116.00000000000000000000 0.52609219965248688045 -0.02072953261319428545 0.99999999999905120340 -2.19105834727730064415 -0.23973768769740644302 0.49935511993506953576 -2.04974191897773305726 -0.23600349883097457293
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
8.30000000000000071054 0.10000000000000000555 0.50000000000000000000 116.00000000000000000000 0.48674154544042902426 -0.02100027429527032488 0.99999999999905286874 -2.07383074767188002596 -0.23520943272520911105 0.49948474613345061890 -2.05027350931904628339 -0.23601387744535581859
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
8.30000000000000071054 0.10000000000000000555 0.59999999999999997780 116.00000000000000000000 0.46015599465639767107 -0.02133157547221956746 0.99999999999906241666 -1.95065374666479196542 -0.22938646673245044472 0.49962072698625048517 -2.05083136555509160104 -0.23602351761229506399
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
8.30000000000000071054 0.10000000000000000555 0.69999999999999995559 116.00000000000000000000 0.46655132777968016944 -0.02172390222068059512 0.99999999999906874493 -1.90964510101001772036 -0.22934101113256261106 0.49976063567118206299 -2.05140668227524525236 -0.23603133775090981428
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
8.30000000000000071054 0.10000000000000000555 0.80000000000000004441 116.00000000000000000000 0.50351334739260289464 -0.02217862057736099540 0.99999999999907107640 -1.97376864072161928298 -0.23651943199301189713 0.49990483934699353474 -2.05199784314075461822 -0.23603597907390391764
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
8.30000000000000071054 0.10000000000000000555 0.90000000000000002220 116.00000000000000000000 0.54302762138039450956 -0.02269998477507027476 0.99999999999906530324 -2.10362227308476290588 -0.24235155242107320195 0.50005163287177623044 -2.05260135056556070055 -0.23603623481757565750
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
8.30000000000000071054 0.10000000000000000555 1.00000000000000000000 116.00000000000000000000 0.54230151450818808723 -0.02328680363887181137 0.99999999999905830883 -2.19107379435168292403 -0.24344288960700358193 0.50019778576389450908 -2.05320152177598602705 -0.23603117803081627435
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
8.30000000000000071054 0.10000000000000000555 1.10000000000000008882 116.00000000000000000000 0.49821029842283098832 -0.02393825906028594977 0.99999999999905497816 -2.15508975833058613603 -0.23896742406975143846 0.50033946925216643553 -2.05377951384366319587 -0.23602113069634020337
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
8.30000000000000071054 0.10000000000000000555 1.19999999999999995559 116.00000000000000000000 0.46031813401781540573 -0.02464192757497326094 0.99999999999905864190 -2.03904889781563802842 -0.23062527283804357126 0.50047219277073207166 -2.05432592208306674664 -0.23600707571423404363
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
8.30000000000000071054 0.10000000000000000555 1.30000000000000004441 116.00000000000000000000 0.45674267881274338565 -0.02538306863988636780 0.99999999999906341586 -1.94971762710621554504 -0.22711056279251543022 0.50059438194804861677 -2.05482804143941510944 -0.23598924457083264583
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
8.30000000000000071054 0.10000000000000000555 1.39999999999999991118 116.00000000000000000000 0.48763497777206216144 -0.02615217800824489250 0.99999999999906785675 -1.94392366493673707240 -0.23018510843038808567 0.50070351440438154444 -2.05527632393227621677 -0.23596771477868400124
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
8.30000000000000071054 0.10000000000000000555 1.50000000000000000000 116.00000000000000000000 0.53152611153346995820 -0.02691785814794337220 0.99999999999906719061 -2.02016840412318066100 -0.23917764427374005320 0.50080394689991458712 -2.05569066343557027565 -0.23594475053471558601
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
