#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.00000000000000000000 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.04603768933024314503 0.01725505223925041451 0.99999999999906341586 -0.03712413454836664684 0.90730319137369530580 -0.00000056402215819210 0.00000042824940022921 0.90738104398224705971
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.10000000000000000555 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.05831992351950907733 0.01725724930038431346 0.99999999999906719061 -0.08750104811130932081 0.90715501400563236523 0.01227283350443145182 -0.05037887825182628398 0.90723148304375533790
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.20000000000000001110 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.07060572020122433956 0.01726393467020762365 0.99999999999907418502 -0.13786392608049399811 0.90670754743968251521 0.02454587124075880908 -0.10075669747616970706 0.90678277836448928362
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.29999999999999998890 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.08289471026860202596 0.01727512069909614700 0.99999999999907884796 -0.18821119561742064019 0.90596066100928973608 0.03681818765393266024 -0.15113154080382479316 0.90603480717229711860
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.40000000000000002220 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.09518651790609521102 0.01729082700816236481 0.99999999999907018822 -0.23854122440326833154 0.90491414099203582033 0.04908941931169662903 -0.20150191221016081067 0.90498736440484495169
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.50000000000000000000 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.10748075920934863081 0.01731108042969129943 0.99999999999905742065 -0.28885231575434811013 0.90356768994141989371 0.06135919993820371926 -0.25186630449596442149 0.90364016205221819877
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.59999999999999997780 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.11977704058626140182 0.01733591493428864386 0.99999999999905608838 -0.33914270319212397320 0.90192092574178450715 0.07362715945077157043 -0.30222319543672970799 0.90199282822742898880
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.69999999999999995559 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.13207495691308193675 0.01736537153910561529 0.99999999999904876091 -0.38941054441825834198 0.89997338037831475788 0.08589292297050667158 -0.35257104382063153558 0.90004490595659158991
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.80000000000000004441 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.14437408941246901439 0.01739949818929053399 0.99999999999904831682 -0.43965391463735087330 0.89772449841164470019 0.09815610979908512279 -0.40290828534209277567 0.89779585167704489823
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.90000000000000002220 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.15667400321265875784 0.01743834960222327007 0.99999999999905542225 -0.48987079916109371736 0.89517363514357650711 0.11041633235307625471 -0.45323332831381857311 0.89524503342896488700
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.00000000000000000000 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.16897424453799020361 0.01748198706090703380 0.99999999999906497017 -0.54005908521828138724 0.89232005445773632246 0.12267319504610106617 -0.50354454915515955982 0.89239172872254246549
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.10000000000000008882 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.18127433747051760471 0.01753047813898358023 0.99999999999907274173 -0.59021655288420260543 0.88916292631549886938 0.13492629310742737525 -0.55384028760780079637 0.88923512205986332546
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.19999999999999995559 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.19357378021027843440 0.01758389633511714747 0.99999999999907263071 -0.64034086503153664349 0.88570132388441280558 0.14717521132356736757 -0.60411884162046780578 0.88577430208533514122
