#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.00000000000000000000 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 -0.01980764076039189317 0.03383691772730829106 0.98025537320873790126 -0.24167192110550828055 0.47237206446680529703 -0.00404951579529441632 -0.09711790886017825086 0.47595823455254648859
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.05000000000000000278 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 -0.01219889327529612329 0.03383968666687914989 0.98035314479010216004 -0.27214333996892414724 0.47238552170373865335 0.00360309352950401434 -0.12757794647071837857 0.47594572154558101307
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.10000000000000000555 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 -0.00459321314880084194 0.03382716917449907906 0.98044740328361223991 -0.30257338170756342688 0.47235003845865447536 0.01124434380487721388 -0.15803487268389557197 0.47587946299178640608
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.14999999999999999445 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 0.00302358495392685564 0.03380067594758647681 0.98053846806201416797 -0.33297762538840258717 0.47226395625620987140 0.01887640475527149753 -0.18849234429767861010 0.47575941074369243466
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.20000000000000001110 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 0.01065493418102564024 0.03376293105012861950 0.98062672425965469181 -0.36336321422686607141 0.47212447109779359655 0.02649963709356078362 -0.21894916279570472706 0.47558530446279484449
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.25000000000000000000 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 0.01829608500984700875 0.03371656772890013060 0.98071228892237549690 -0.39373282943846543702 0.47192933681028792492 0.03411363259722015318 -0.24940157700027271170 0.47535695794845833628
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.29999999999999998890 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 0.02593924421846575956 0.03366405493734121041 0.98079518184727876307 -0.42408508913311032673 0.47167748337607035003 0.04171758702446876771 -0.27984445739537694431 0.47507424215435972714
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.34999999999999997780 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 0.03357787913673893759 0.03360726210083744836 0.98087539859873240644 -0.45441546215178313384 0.47136894309345706011 0.04931061243758252249 -0.31027245414158788339 0.47473710540102764810
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.40000000000000002220 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 0.04120797445740792542 0.03354705085922632390 0.98095297420934057797 -0.48471755402782756850 0.47100420860300934445 0.05689180827881498703 -0.34068015844502536060 0.47434552156289788716
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.45000000000000001110 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 0.04882736403767964917 0.03348342949830202669 0.98102797457916679491 -0.51498445107277979194 0.47058384012383369654 0.06446018899044456130 -0.37106176788158984348 0.47389953270746687508
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.50000000000000000000 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 0.05643476517568937756 0.03341605796852897131 0.98110047404657108050 -0.54520960155035624872 0.47010824767893649723 0.07201472891577681557 -0.40141141761528781329 0.47339920984837424722
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.55000000000000004441 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 0.06402910715297302491 0.03334457280215074454 0.98117058248491595407 -0.57538650667796642502 0.46957776285233931990 0.07955433119718105517 -0.43172308258193570207 0.47284466037559391705
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.59999999999999997780 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 0.07160936869416223427 0.03326868387365312929 0.98123840312990751045 -0.60550897575391515737 0.46899265110639132281 0.08707787570411659739 -0.46199081464604563330 0.47223600711410518294
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.65000000000000002220 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 0.07917451188793965533 0.03318816032729099419 0.98130403691875489613 -0.63557093900200400949 0.46835316165260854060 0.09458420905950132296 -0.49220864497367528001 0.47157339707618084468
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.69999999999999995559 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 0.08672351875041900415 0.03310282965655192422 0.98136757961598797273 -0.66556647375219846197 0.46765952128239796082 0.10207217504802988672 -0.52237070677093566662 0.47085698729683367336
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.75000000000000000000 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 0.09425532734379758748 0.03301255750757779023 0.98142912439191609675 -0.69548971691389926963 0.46691195509017796583 0.10954059679133565375 -0.55247111253958913757 0.47008695431448982438
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.80000000000000004441 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 0.10176884037423558627 0.03291724191797572308 0.98148875919734823725 -0.72533489551106544724 0.46611068494618607128 0.11698829805432939266 -0.58250407880097465618 0.46926348439896814480
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.84999999999999997780 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 0.10926291131128869349 0.03281681164400684914 0.98154657082223750741 -0.75509625379726907912 0.46525594411197734868 0.12441408734510252254 -0.61246382264085519331 0.46838677954838808803
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.90000000000000002220 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 0.11673637744313374032 0.03271121676335927986 0.98160263961807470157 -0.78476810477109260056 0.46434797602269012318 0.13181677145107253968 -0.64234463677135877901 0.46745705287551259088
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.94999999999999995559 0.10000000000000000555 4.00000000000000000000 1.15999999999999992006 0.12418807510361602742 0.03260042796812103599 0.98165703505943902041 -0.81434486008701911786 0.46338703551841003980 0.13919514809300484459 -0.67214083281369518819 0.46647453186826010052
