#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.00000000000000000000 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 -0.05794596677681585623 0.05068744667646609553 0.99999999958165131098 -0.06737704778938841121 0.94651528387180183799 0.00003012184375073359 0.00003414505304075293 0.94619475708919842383
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.05000000000000000278 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 -0.05204182830231066786 0.05068697532854715693 0.99999999940605632798 -0.09157870141182175572 0.94647416577201848309 0.00592533673596412364 -0.02416454647779616230 0.94615824225777489520
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.10000000000000000555 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 -0.04612066464685584538 0.05068185365310069745 0.99999999933694383447 -0.11578700365992837529 0.94636063973337181121 0.01182050664516917475 -0.04836308317892107356 0.94604863834652319632
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.14999999999999999445 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 -0.04018250484267006650 0.05067207241864348649 0.99999999939951778050 -0.14000178997891665755 0.94617469954186328440 0.01771559561942808933 -0.07256131643421936950 0.94586593944980679183
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.20000000000000001110 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 -0.03422737308116426125 0.05065761655056326418 0.99999999954925888890 -0.16422288567280421412 0.94591633436263855561 0.02361056768130353686 -0.09675909753664246882 0.94561013570051311028
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
