# display=4 E_dc=6.50000000000000000000 E_omega=0.20000000298023223877 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00002499999936844688 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.20000000298023223877 0.50000000000000000000 116.00000000000000000000 0.75420325994491577148 0.01101410295814275742 0.99863743782043457031 -3.05213451385498046875 0.25236195325851440430 0.74220347404479980469 -3.04335618019104003906 0.24491070210933685303 -0.00290495529770851135
# display=4 E_dc=6.50000000000000000000 E_omega=0.20000000298023223877 omega=0.55000001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00002499999936844688 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.20000000298023223877 0.55000001192092895508 116.00000000000000000000 0.76217710971832275391 0.01127657666802406311 0.99863398075103759766 -3.08796405792236328125 0.23107029497623443604 0.74272912740707397461 -3.04265642166137695312 0.24504102766513824463 -0.00316057330928742886
# display=4 E_dc=6.50000000000000000000 E_omega=0.20000000298023223877 omega=0.60000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00002499999936844688 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.20000000298023223877 0.60000002384185791016 116.00000000000000000000 0.76579481363296508789 0.01152322161942720413 0.99864071607589721680 -3.11451435089111328125 0.21327161788940429688 0.74249243736267089844 -3.04515910148620605469 0.24504546821117401123 -0.00345300906337797642
# display=4 E_dc=6.50000000000000000000 E_omega=0.20000000298023223877 omega=0.64999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00002499999936844688 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.20000000298023223877 0.64999997615814208984 116.00000000000000000000 0.76415431499481201172 0.01182419527322053909 0.99862915277481079102 -3.12699198722839355469 0.20300567150115966797 0.74303424358367919922 -3.04432153701782226562 0.24491252005100250244 -0.00373106449842453003
# display=4 E_dc=6.50000000000000000000 E_omega=0.20000000298023223877 omega=0.69999998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00002499999936844688 g-grid=3100
