# display=4 E_dc=6.50000000000000000000 E_omega=0.40000000596046447754 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00000999999974737875 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.40000000596046447754 0.50000000000000000000 116.00000000000000000000 0.76449948549270629883 0.02264395914971828461 0.99861711263656616211 -3.06061434745788574219 0.25657007098197937012 0.74046057462692260742 -3.04698896408081054688 0.24236443638801574707 -0.00568623328581452370
# display=4 E_dc=6.50000000000000000000 E_omega=0.40000000596046447754 omega=0.55000001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00000999999974737875 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.40000000596046447754 0.55000001192092895508 116.00000000000000000000 0.77895742654800415039 0.02307354845106601715 0.99865806102752685547 -3.12848210334777832031 0.21298736333847045898 0.74205231666564941406 -3.03635621070861816406 0.24147327244281768799 -0.00610662391409277916
# display=4 E_dc=6.50000000000000000000 E_omega=0.40000000596046447754 omega=0.60000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00000999999974737875 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.40000000596046447754 0.60000002384185791016 116.00000000000000000000 0.78557068109512329102 0.02357272431254386902 0.99865758419036865234 -3.17686891555786132812 0.17581515014171600342 0.74297761917114257812 -3.04017901420593261719 0.24175786972045898438 -0.00671362550929188728
# display=4 E_dc=6.50000000000000000000 E_omega=0.40000000596046447754 omega=0.64999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00000999999974737875 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.40000000596046447754 0.64999997615814208984 116.00000000000000000000 0.78414797782897949219 0.02415034547448158264 0.99856537580490112305 -3.20054626464843750000 0.15436589717864990234 0.74186021089553833008 -3.05036139488220214844 0.24124686419963836670 -0.00724367331713438034
# display=4 E_dc=6.50000000000000000000 E_omega=0.40000000596046447754 omega=0.69999998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00000999999974737875 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.40000000596046447754 0.69999998807907104492 116.00000000000000000000 0.77347874641418457031 0.02477315627038478851 0.99859082698822021484 -3.19765186309814453125 0.15396107733249664307 0.74245923757553100586 -3.04213309288024902344 0.24106644093990325928 -0.00779834762215614319
# display=4 E_dc=6.50000000000000000000 E_omega=0.40000000596046447754 omega=0.75000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00000999999974737875 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.40000000596046447754 0.75000000000000000000 116.00000000000000000000 0.75053673982620239258 0.02545112557709217072 0.99857127666473388672 -3.16173028945922851562 0.17302724719047546387 0.74185371398925781250 -3.03087449073791503906 0.24097177386283874512 -0.00826248154044151306
# display=4 E_dc=6.50000000000000000000 E_omega=0.40000000596046447754 omega=0.80000001192092895508 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00000999999974737875 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.40000000596046447754 0.80000001192092895508 116.00000000000000000000 0.71810430288314819336 0.02619351074099540710 0.99858331680297851562 -3.08910822868347167969 0.20483699440956115723 0.74279832839965820312 -3.04671835899353027344 0.24156805872917175293 -0.00871676951646804810
# display=4 E_dc=6.50000000000000000000 E_omega=0.40000000596046447754 omega=0.85000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00000999999974737875 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.40000000596046447754 0.85000002384185791016 116.00000000000000000000 0.68832159042358398438 0.02703209780156612396 0.99858981370925903320 -2.99256873130798339844 0.24245406687259674072 0.74274694919586181641 -3.04015970230102539062 0.24090267717838287354 -0.00915796123445034027
# display=4 E_dc=6.50000000000000000000 E_omega=0.40000000596046447754 omega=0.89999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00000999999974737875 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.40000000596046447754 0.89999997615814208984 116.00000000000000000000 0.67608368396759033203 0.02793452329933643341 0.99862867593765258789 -2.90253257751464843750 0.27827209234237670898 0.74126744270324707031 -3.04399633407592773438 0.24061295390129089355 -0.00953617133200168610
# display=4 E_dc=6.50000000000000000000 E_omega=0.40000000596046447754 omega=0.94999998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00000999999974737875 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.40000000596046447754 0.94999998807907104492 116.00000000000000000000 0.68779009580612182617 0.02886637672781944275 0.99863386154174804688 -2.85252761840820312500 0.30401891469955444336 0.74159723520278930664 -3.04551529884338378906 0.24056816101074218750 -0.00992156192660331726
# display=4 E_dc=6.50000000000000000000 E_omega=0.40000000596046447754 omega=1.00000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00000999999974737875 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.40000000596046447754 1.00000000000000000000 116.00000000000000000000 0.71566814184188842773 0.02987769804894924164 0.99861681461334228516 -2.85808277130126953125 0.31438225507736206055 0.74236136674880981445 -3.03896665573120117188 0.24017976224422454834 -0.01035451889038085938
# display=4 E_dc=6.50000000000000000000 E_omega=0.40000000596046447754 omega=1.04999995231628417969 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00000999999974737875 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.40000000596046447754 1.04999995231628417969 116.00000000000000000000 0.74688124656677246094 0.03095685504376888275 0.99862897396087646484 -2.91068220138549804688 0.30895504355430603027 0.74236428737640380859 -3.04602241516113281250 0.23957951366901397705 -0.01061908248811960220
# display=4 E_dc=6.50000000000000000000 E_omega=0.40000000596046447754 omega=1.10000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00000999999974737875 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
6.50000000000000000000 0.40000000596046447754 1.10000002384185791016 116.00000000000000000000 0.77198392152786254883 0.03220604360103607178 0.99863660335540771484 -2.98797774314880371094 0.28948235511779785156 0.74292534589767456055 -3.04076790809631347656 0.23996590077877044678 -0.01085015293210744858
# display=4 E_dc=6.50000000000000000000 E_omega=0.40000000596046447754 omega=1.14999997615814208984 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-5.00000000000000000000 PhiYmax=2.00000000000000000000 B=4.00000000000000000000 t-max=10.00000000000000000000 dt=0.00000999999974737875 g-grid=3100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>    Asin
