#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
0.10000000000000000555 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.01511449299968568860 0.00000000000000000000 0.99999999989683163726 -0.06203951626792932744 0.47489629086436785377
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
0.20000000000000001110 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.03021854077616296583 0.00000000000000000000 0.99999999989682197832 -0.12403616067191380878 0.47456825173708866439
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
0.29999999999999998890 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.04530170590988079338 0.00000000000000000000 0.99999999989680954382 -0.18594709337161738349 0.47402186618881236857
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
0.40000000000000002220 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.06035356660279711516 0.00000000000000000000 0.99999999989679899670 -0.24772953863221613968 0.47325765343131293017
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
0.50000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.07536372452476684802 0.00000000000000000000 0.99999999989678078904 -0.30934081702344806697 0.47227633979223210270
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
0.59999999999999997780 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.09032181270191103062 0.00000000000000000000 0.99999999989675825152 -0.37073837779117346791 0.47107885814362260302
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
0.69999999999999995559 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.10521750346066655046 0.00000000000000000000 0.99999999989673160616 -0.43187983145746083880 0.46966634716395905258
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
0.80000000000000004441 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.12004051643964479268 0.00000000000000000000 0.99999999989671051193 -0.49272298269916409152 0.46804015043089702841
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
