# display=4 E_dc=5.00000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=8.00000000000000000000 t-max=10.00000000000000000000 dt=0.00019999999494757503 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.00000000000000000000 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.15671007335186004639 0.00155905750580132008 0.99988389015197753906 -1.27410876750946044922 0.85220050811767578125 0.15438677370548248291 -1.26730024814605712891 0.85165548324584960938
# display=4 E_dc=5.00000000000000000000 E_omega=0.10000000149011611938 omega=0.60000002384185791016 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=8.00000000000000000000 t-max=10.00000000000000000000 dt=0.00019999999494757503 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.00000000000000000000 0.10000000149011611938 0.60000002384185791016 116.00000000000000000000 0.15790638327598571777 0.00156788388267159462 0.99988192319869995117 -1.29161095619201660156 0.84937965869903564453 0.15439753234386444092 -1.26741814613342285156 0.85172080993652343750
# display=4 E_dc=5.00000000000000000000 E_omega=0.10000000149011611938 omega=0.69999998807907104492 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=8.00000000000000000000 t-max=10.00000000000000000000 dt=0.00019999999494757503 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.00000000000000000000 0.10000000149011611938 0.69999998807907104492 116.00000000000000000000 0.15539368987083435059 0.00157780817244201899 0.99988389015197753906 -1.28696775436401367188 0.84852045774459838867 0.15437881648540496826 -1.26731872558593750000 0.85145127773284912109
# display=4 E_dc=5.09999990463256835938 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=8.00000000000000000000 t-max=10.00000000000000000000 dt=0.00019999999494757503 g-grid=3069
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.09999990463256835938 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.15979231894016265869 0.00155905284918844700 0.99988365173339843750 -1.29941034317016601562 0.84837108850479125977 0.15746986865997314453 -1.29260790348052978516 0.84779322147369384766
