#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.47061339020729064941 0.00158490124158561230 2.98508834838867187500 27.02009201049804687500 1.86404752731323242188 0.16012409329414367676 -0.00338141177780926228 0.94246059656143188477 0.47046872740293843584 0.01009999029338359833 0.00158490124158561230
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.92693001031875610352 0.00235396600328385830 2.96648740768432617188 26.73782348632812500000 1.82058501243591308594 0.23796898126602172852 -0.00829727482050657272 0.93801832199096679688 0.92579046259220199033 0.02019997313618659973 0.00235396600328385830
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 1.36005771160125732422 0.00310787372291088104 2.93603944778442382812 26.27656364440917968750 1.75018906593322753906 0.31447154283523559570 -0.01529406756162643433 0.93170374631881713867 1.35629661907856280401 0.03029995597898960114 0.00310787372291088104
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 1.76204121112823486328 0.00384328025393188000 2.89436626434326171875 25.64664077758789062500 1.65531003475189208984 0.38935938477516174316 -0.02430918440222740173 0.92358881235122680664 1.75338160555717359479 0.04040011018514633179 0.00384328025393188000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 2.12612676620483398438 0.00455712992697954178 2.84221339225769042969 24.86050605773925781250 1.53898084163665771484 0.46238046884536743164 -0.03527139127254486084 0.91375762224197387695 2.10980777381969453188 0.05050028115510940552 0.00455712992697954178
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 2.44692444801330566406 0.00524663785472512245 2.78042411804199218750 23.93238830566406250000 1.40465736389160156250 0.53330564498901367188 -0.04810256883502006531 0.90230339765548706055 2.41989457239907945763 0.06060045212507247925 0.00524663785472512245
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 2.72054576873779296875 0.00590933393687009811 2.70993375778198242188 22.87783813476562500000 1.25608456134796142578 0.60193067789077758789 -0.06271794438362121582 0.88933145999908447266 2.67966821597847149050 0.07070062309503555298 0.00590933393687009811
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 2.94462323188781738281 0.00654307892546057701 2.63172435760498046875 21.71339607238769531250 1.09714090824127197266 0.66807752847671508789 -0.07902755588293075562 0.87495487928390502930 2.88687889503654471213 0.08080079406499862671 0.00654307892546057701
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 3.11828327178955078125 0.00714608142152428627 2.54683780670166015625 20.45617103576660156250 0.93169462680816650391 0.73159545660018920898 -0.09693676233291625977 0.85929405689239501953 3.04095783095776317495 0.09090096503496170044 0.00714608142152428627
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 3.24205636978149414062 0.00771689414978027344 2.45632004737854003906 19.12341880798339843750 0.76346653699874877930 0.79236131906509399414 -0.11634756624698638916 0.84246701002120971680 3.14290019580753821060 0.10100113600492477417 0.00771689414978027344
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 3.31772732734680175781 0.00825442001223564148 2.36121773719787597656 17.73212623596191406250 0.59592008590698242188 0.85027951002120971680 -0.13715918362140655518 0.82459193468093872070 3.19508006754608198108 0.11110130697488784790 0.00825442001223564148
