#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 0.15778592323286164123 0.00078784401944261126 0.99999999999998878675 -0.00326737719208760853 0.94254106554432792731 0.15856488323678635810 -0.00329975669328627479 0.94251170151317642532 0.15757871087324470949 0.01004999999999996695
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 0.31275762317161126536 0.00116972744503358287 0.99999999999997990496 -0.01292457274758320417 0.93378673430226766250 0.23604225268358530743 -0.00814401401843125629 0.93812036993072489555 0.31111578618889057513 0.02010000000000006226
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 0.46375488327112973641 0.00154103549572932852 0.99999999999996891376 -0.02876796204884004074 0.91946187973201964905 0.31219294741148273520 -0.01504996054641437146 0.93187262922074165505 0.45828324191522362696 0.03015000000000035013
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 0.60969922141124832660 0.00189909392229299775 0.99999999999995947686 -0.05054995480289915105 0.89985805417313657895 0.38674746063252551931 -0.02395564648690784448 0.92384144358968378619 0.59693023756150775938 0.04020000000000063800
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 0.74961221537370414936 0.00224145212609176605 0.99999999999994904076 -0.07798317855814297650 0.87532409785729492491 0.45945631421155130880 -0.03479117012621932292 0.91411122678405787312 0.72513055233524770227 0.05025000000000092587
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 0.88263054585393441176 0.00256591514069077478 0.99999999999994082511 -0.11074530640252530644 0.84625748932944744318 0.53009256292596851345 -0.04747948291739250565 0.90277639959180078222 0.84122119142091134059 0.06030000000000121374
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.00801736728925162012 0.00287056850989240563 0.99999999999992950084 -0.14848437900651254018 0.81309478982870941888 0.59845377391535814482 -0.06193726507974074702 0.88993981817194578454 0.94383100054902513421 0.07035000000000041220
