# B=1.30000000000000004441 E_dc=1.00000000000000000000 E_omega=0.00000000000000000000 omega=0.00000000000000000000
# dt=0.00000500000000000000 dPhiY=0.00165517241379310341
# host_B=1.30000000000000004441 abdt=0.00049088541666666671
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM
1.00000000000000000000 0.00000000000000000000 0.00000000000000000000 0.20000000000000001110 0.38098325858737391858 0.00000000000000000000 1.00000000003781486235
# B=1.30000000000000004441 E_dc=1.10000000000000008882 E_omega=0.00000000000000000000 omega=0.00000000000000000000
# dt=0.00000500000000000000 dPhiY=0.00165517241379310341
# host_B=1.30000000000000004441 abdt=0.00049088541666666671
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM
1.10000000000000008882 0.00000000000000000000 0.00000000000000000000 0.20000000000000001110 0.40332004111666719393 0.00000000000000000000 1.00000000003785216585
# B=1.30000000000000004441 E_dc=1.19999999999999995559 E_omega=0.00000000000000000000 omega=0.00000000000000000000
# dt=0.00000500000000000000 dPhiY=0.00165517241379310341
# host_B=1.30000000000000004441 abdt=0.00049088541666666671
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM
1.19999999999999995559 0.00000000000000000000 0.00000000000000000000 0.20000000000000001110 0.42134305720462145173 0.00000000000000000000 1.00000000003792233194
# B=1.30000000000000004441 E_dc=1.30000000000000004441 E_omega=0.00000000000000000000 omega=0.00000000000000000000
# dt=0.00000500000000000000 dPhiY=0.00165517241379310341
# host_B=1.30000000000000004441 abdt=0.00049088541666666671
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM
1.30000000000000004441 0.00000000000000000000 0.00000000000000000000 0.20000000000000001110 0.43489173027048627640 0.00000000000000000000 1.00000000003789546454
# B=1.30000000000000004441 E_dc=1.39999999999999991118 E_omega=0.00000000000000000000 omega=0.00000000000000000000
# dt=0.00000500000000000000 dPhiY=0.00165517241379310341
# host_B=1.30000000000000004441 abdt=0.00049088541666666671
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM
1.39999999999999991118 0.00000000000000000000 0.00000000000000000000 0.20000000000000001110 0.44392400163166462201 0.00000000000000000000 1.00000000003791833514
# B=1.30000000000000004441 E_dc=1.50000000000000000000 E_omega=0.00000000000000000000 omega=0.00000000000000000000
# dt=0.00000500000000000000 dPhiY=0.00165517241379310341
# host_B=1.30000000000000004441 abdt=0.00049088541666666671
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM
1.50000000000000000000 0.00000000000000000000 0.00000000000000000000 0.20000000000000001110 0.44852826832902187304 0.00000000000000000000 1.00000000003789435432
# B=1.30000000000000004441 E_dc=1.60000000000000008882 E_omega=0.00000000000000000000 omega=0.00000000000000000000
# dt=0.00000500000000000000 dPhiY=0.00165517241379310341
# host_B=1.30000000000000004441 abdt=0.00049088541666666671
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM
1.60000000000000008882 0.00000000000000000000 0.00000000000000000000 0.20000000000000001110 0.44892626153218495588 0.00000000000000000000 1.00000000003787925529
# B=1.30000000000000004441 E_dc=1.69999999999999995559 E_omega=0.00000000000000000000 omega=0.00000000000000000000
# dt=0.00000500000000000000 dPhiY=0.00165517241379310341
# host_B=1.30000000000000004441 abdt=0.00049088541666666671
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM
1.69999999999999995559 0.00000000000000000000 0.00000000000000000000 0.20000000000000001110 0.44546553470035132882 0.00000000000000000000 1.00000000003785372016
# B=1.30000000000000004441 E_dc=1.80000000000000004441 E_omega=0.00000000000000000000 omega=0.00000000000000000000
# dt=0.00000500000000000000 dPhiY=0.00165517241379310341
# host_B=1.30000000000000004441 abdt=0.00049088541666666671
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM
1.80000000000000004441 0.00000000000000000000 0.00000000000000000000 0.20000000000000001110 0.43860158092514334172 0.00000000000000000000 1.00000000003778577451
# B=1.30000000000000004441 E_dc=1.89999999999999991118 E_omega=0.00000000000000000000 omega=0.00000000000000000000
# dt=0.00000500000000000000 dPhiY=0.00165517241379310341
# host_B=1.30000000000000004441 abdt=0.00049088541666666671
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM
1.89999999999999991118 0.00000000000000000000 0.00000000000000000000 0.20000000000000001110 0.42887105385918805611 0.00000000000000000000 1.00000000003810463056
