#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
4.00000000000000000000 0.00000000000000000000 0.00000000000000000000 0.43099999999999999423 0.14306035723243346047 0.00000000000000000000 0.99999159336751031191 0.21495274333322200722
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
4.50000000000000000000 0.00000000000000000000 0.00000000000000000000 0.43099999999999999423 0.15451374560653588497 0.00000000000000000000 0.99999064374083790341 0.19484737904507706818
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
4.00000000000000000000 0.00000000000000000000 0.00000000000000000000 0.43099999999999999423 0.12816879178503740033 0.00000000000000000000 0.99999201066195408938 0.20526922415232073948
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
4.50000000000000000000 0.00000000000000000000 0.00000000000000000000 0.43099999999999999423 0.13582310512496792443 0.00000000000000000000 0.99999136797180487868 0.18360511634379625412
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
4.00000000000000000000 0.00000000000000000000 0.00000000000000000000 0.43099999999999999423 0.12462321529369542461 0.00000000000000000000 0.99999232990893804907 0.20447425951239511788
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
4.50000000000000000000 0.00000000000000000000 0.00000000000000000000 0.43099999999999999423 0.13314587689484477795 0.00000000000000000000 0.99999243228805623218 0.18269765450086322689
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
5.00000000000000000000 0.00000000000000000000 0.00000000000000000000 0.43099999999999999423 0.13955056701504645056 0.00000000000000000000 0.99999004075210506937 0.16027806299570085402
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
5.50000000000000000000 0.00000000000000000000 0.00000000000000000000 0.43099999999999999423 0.14381876440486954238 0.00000000000000000000 0.99999140496035965331 0.13771601691754159491
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
6.00000000000000000000 0.00000000000000000000 0.00000000000000000000 0.43099999999999999423 0.14603693430215239357 0.00000000000000000000 0.99999018465278144419 0.11550007158645242411
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
6.50000000000000000000 0.00000000000000000000 0.00000000000000000000 0.43099999999999999423 0.14623783393003506048 0.00000000000000000000 0.99998759484564148092 0.09408007146708528834
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
7.00000000000000000000 0.00000000000000000000 0.00000000000000000000 0.43099999999999999423 0.14454858312271251508 0.00000000000000000000 0.99999754282190778110 0.07384577083464706482
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
7.50000000000000000000 0.00000000000000000000 0.00000000000000000000 0.43099999999999999423 0.14119692596612490321 0.00000000000000000000 0.99998072026386441991 0.05515118859829214876
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
8.00000000000000000000 0.00000000000000000000 0.00000000000000000000 0.43099999999999999423 0.13645810032283781088 0.00000000000000000000 0.99996929073007889688 0.03823285082083706377
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
8.50000000000000000000 0.00000000000000000000 0.00000000000000000000 0.43099999999999999423 0.13065567658888552205 0.00000000000000000000 0.99991682172384555027 0.02322563192624114287
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
9.00000000000000000000 0.00000000000000000000 0.00000000000000000000 0.43099999999999999423 0.12375032260534571393 0.00000000000000000000 0.99812113236498078983 0.00935268318597934009
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
9.50000000000000000000 0.00000000000000000000 0.00000000000000000000 0.43099999999999999423 0.11664380643935703952 0.00000000000000000000 0.99477140893421667212 -0.00296296782109728646
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         T                      <v_{dr}/v_{0}>         A(\omega)              NORM varepsilon
10.00000000000000000000 0.00000000000000000000 0.00000000000000000000 0.43099999999999999423 0.10932032545154825309 0.00000000000000000000 0.99053817536040078551 -0.01318845448331643772
